NDC,PRODUCT_NAME,DRUG_NAME,RxCUI,BRAND_NAME,MULTI_INGREDIENT
45802010365,alogliptin 12.5 mg oral tablet,alogliptin,1368001,,FALSE
64764012550,alogliptin 12.5 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764012502,alogliptin 12.5 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764012530,alogliptin 12.5 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764012590,alogliptin 12.5 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
45802015065,alogliptin 25 mg oral tablet,alogliptin,1368001,,FALSE
50090557400,alogliptin 25 mg oral tablet,alogliptin,1368001,,FALSE
71610030009,alogliptin 25 mg oral tablet,alogliptin,1368001,,FALSE
64764025002,alogliptin 25 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764025030,alogliptin 25 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764025050,alogliptin 25 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764025090,alogliptin 25 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
45802008765,alogliptin 6.25 mg oral tablet,alogliptin,1368001,,FALSE
64764062530,alogliptin 6.25 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
64764062590,alogliptin 6.25 mg oral tablet [nesina],alogliptin,1368001,Nesina,FALSE
00597014061,linagliptin 5 mg oral tablet [tradjenta],linagliptin,1100699,Tradjenta,FALSE
55154041008,linagliptin 5 mg oral tablet [tradjenta],linagliptin,1100699,Tradjenta,FALSE
50090438300,linagliptin 5 mg oral tablet [tradjenta],linagliptin,1100699,Tradjenta,FALSE
00597014030,linagliptin 5 mg oral tablet [tradjenta],linagliptin,1100699,Tradjenta,FALSE
00597014070,linagliptin 5 mg oral tablet [tradjenta],linagliptin,1100699,Tradjenta,FALSE
00597014090,linagliptin 5 mg oral tablet [tradjenta],linagliptin,1100699,Tradjenta,FALSE
00006027701,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027754,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
55154504208,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090408400,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
66105065203,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090558500,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090558501,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
58118027709,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
58118027706,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
58118027703,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027782,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027733,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027731,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027730,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027728,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027727,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027714,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006027702,sitagliptin 100 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090352700,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090408700,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006022128,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006022101,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006022131,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006022154,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090554700,sitagliptin 25 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090551700,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090408600,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006011231,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006011254,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
50090347201,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006011201,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00006011228,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
55154504008,sitagliptin 50 mg oral tablet [januvia],sitagliptin,593411,Januvia,FALSE
00310610030,saxagliptin 2.5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
00310610090,saxagliptin 2.5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
00310610095,saxagliptin 2.5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
55154693102,saxagliptin 5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
00310610595,saxagliptin 5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
00310610590,saxagliptin 5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
00310610550,saxagliptin 5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
00310610530,saxagliptin 5 mg oral tablet [onglyza],saxagliptin,857974,Onglyza,FALSE
