NDC,PRODUCT_NAME,ACTIVE,START_DATE,END_DATE,BRAND_GENERIC,MULTI_INGREDIENT
23155014910,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
69543012210,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
76439012210,acarbose 100 mg oral tablet,FALSE,201312,201909,generic,FALSE
23155014905,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
11788004101,acarbose 100 mg oral tablet,FALSE,202011,202201,generic,FALSE
00115115201,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
00378282227,acarbose 100 mg oral tablet,FALSE,201102,201502,generic,FALSE
16252052501,acarbose 100 mg oral tablet,FALSE,200807,202106,generic,FALSE
42291013290,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
23155014901,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
50090508800,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
64380076006,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
16252052500,acarbose 100 mg oral tablet,FALSE,200912,201212,generic,FALSE
50090411600,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
00054014225,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
64896115201,acarbose 100 mg oral tablet,FALSE,200907,201206,generic,FALSE
00378282210,acarbose 100 mg oral tablet,FALSE,201102,201706,generic,FALSE
00378282277,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
42291013210,acarbose 100 mg oral tablet,FALSE,201402,201901,generic,FALSE
69543012211,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
47781034201,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
41284052500,acarbose 100 mg oral tablet,FALSE,200810,201206,generic,FALSE
41284052501,acarbose 100 mg oral tablet,FALSE,200810,201206,generic,FALSE
00115115203,acarbose 100 mg oral tablet,FALSE,200907,201608,generic,FALSE
00115115202,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
76439012211,acarbose 100 mg oral tablet,FALSE,201312,201909,generic,FALSE
72789013360,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
50090582900,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
51862021201,acarbose 100 mg oral tablet,TRUE,190001,,generic,FALSE
64896115203,acarbose 100 mg oral tablet,FALSE,200907,201206,generic,FALSE
00026286248,acarbose 100 mg oral tablet [precose],FALSE,200706,201101,brand,FALSE
12527286209,acarbose 100 mg oral tablet [precose],FALSE,200706,201206,brand,FALSE
50419086251,acarbose 100 mg oral tablet [precose],TRUE,190001,,brand,FALSE
51129443002,acarbose 100 mg oral tablet [precose],FALSE,200905,201206,brand,FALSE
51129443001,acarbose 100 mg oral tablet [precose],FALSE,200905,201206,brand,FALSE
00026286251,acarbose 100 mg oral tablet [precose],FALSE,200706,201212,brand,FALSE
64896115003,acarbose 25 mg oral tablet,FALSE,200907,201206,generic,FALSE
00115115003,acarbose 25 mg oral tablet,FALSE,200907,201608,generic,FALSE
72789013160,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
11788003901,acarbose 25 mg oral tablet,FALSE,202011,202201,generic,FALSE
00054014025,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
23155014710,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
69543012011,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
00378282010,acarbose 25 mg oral tablet,FALSE,201102,201706,generic,FALSE
64896115001,acarbose 25 mg oral tablet,FALSE,200907,201206,generic,FALSE
63629569702,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
16252052301,acarbose 25 mg oral tablet,FALSE,200807,202106,generic,FALSE
42291013010,acarbose 25 mg oral tablet,FALSE,201402,201901,generic,FALSE
41284052301,acarbose 25 mg oral tablet,FALSE,200810,201206,generic,FALSE
00378282077,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
00115115001,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
51862021001,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
47781034001,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
63629569701,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
76439012011,acarbose 25 mg oral tablet,FALSE,201312,201909,generic,FALSE
42291013090,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
16252052300,acarbose 25 mg oral tablet,FALSE,200912,201212,generic,FALSE
64380075806,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
54868594500,acarbose 25 mg oral tablet,FALSE,200903,201907,generic,FALSE
00115115002,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
23155014705,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
23155014701,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
00378282027,acarbose 25 mg oral tablet,FALSE,201102,201502,generic,FALSE
69543012010,acarbose 25 mg oral tablet,TRUE,190001,,generic,FALSE
76439012010,acarbose 25 mg oral tablet,FALSE,201312,201909,generic,FALSE
12527286309,acarbose 25 mg oral tablet [precose],FALSE,200706,201206,brand,FALSE
00026286317,acarbose 25 mg oral tablet [precose],FALSE,200706,201212,brand,FALSE
00026286351,acarbose 25 mg oral tablet [precose],FALSE,200706,201403,brand,FALSE
00179177871,acarbose 25 mg oral tablet [precose],FALSE,200706,201206,brand,FALSE
54868583100,acarbose 25 mg oral tablet [precose],FALSE,200811,201907,brand,FALSE
54569454800,acarbose 25 mg oral tablet [precose],FALSE,200706,201101,brand,FALSE
00179177870,acarbose 25 mg oral tablet [precose],FALSE,200706,201206,brand,FALSE
54868583101,acarbose 25 mg oral tablet [precose],FALSE,200811,201907,brand,FALSE
00179177872,acarbose 25 mg oral tablet [precose],FALSE,200706,201206,brand,FALSE
50419086351,acarbose 25 mg oral tablet [precose],TRUE,190001,,brand,FALSE
63629569801,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
68151053701,acarbose 50 mg oral tablet,FALSE,201802,202006,generic,FALSE
64896115103,acarbose 50 mg oral tablet,FALSE,200907,201206,generic,FALSE
76439012110,acarbose 50 mg oral tablet,FALSE,201312,201909,generic,FALSE
50090411501,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
69543012110,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
72789013260,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
63629569802,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
55289017142,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
63629569803,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
00378282127,acarbose 50 mg oral tablet,FALSE,201102,201502,generic,FALSE
64380075906,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
42291013110,acarbose 50 mg oral tablet,FALSE,201402,201901,generic,FALSE
76439012111,acarbose 50 mg oral tablet,FALSE,201312,202111,generic,FALSE
54569606100,acarbose 50 mg oral tablet,FALSE,200901,201307,generic,FALSE
00378282177,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
00054014120,acarbose 50 mg oral tablet,TRUE,190001,,generic,FALSE
